epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.951,1.45254,2.73347,1.19449,0.00595,0.91394,0.28442,0.15688,1.24895,3.43056,1.05256,0.000541044,0.000541044,0.000541044
2,627.679,1.39725,1.80027,1.14057,0.00555,0.82248,0.17042,0.10358,1.31106,3.48242,1.14584,0.00104242,0.00104242,0.00104242
3,1036.6,1.39088,1.65575,1.15978,0.59433,0.55121,0.57106,0.3334,1.37028,2.27762,1.17917,0.00148879,0.00148879,0.00148879
4,1447.32,1.39586,1.51915,1.1535,0.60882,0.65287,0.60849,0.35002,1.38729,1.7547,1.1656,0.00141945,0.00141945,0.00141945
5,1858.14,1.4038,1.41449,1.16294,0.75594,0.5906,0.66727,0.3933,1.40937,1.69838,1.20723,0.00133693,0.00133693,0.00133693
6,2256.22,1.3748,1.32239,1.16221,0.70936,0.72352,0.71799,0.43247,1.35039,1.38949,1.15006,0.00125442,0.00125442,0.00125442
7,2720.14,1.33045,1.2312,1.12742,0.73335,0.70023,0.74847,0.46627,1.26278,1.23069,1.12142,0.0011719,0.0011719,0.0011719
8,3059.57,1.32526,1.21787,1.12274,0.81486,0.6583,0.77135,0.48764,1.28556,1.17352,1.11336,0.00108938,0.00108938,0.00108938
9,3424.88,1.30923,1.185,1.11801,0.71057,0.74494,0.76003,0.47346,1.30058,1.12102,1.12576,0.00100687,0.00100687,0.00100687
10,5719.16,1.3064,1.12965,1.11688,0.71608,0.72112,0.74775,0.46373,1.30937,1.16403,1.12268,0.000924352,0.000924352,0.000924352
11,6072.96,1.26655,1.1357,1.11999,0.68268,0.74705,0.76047,0.46734,1.33357,1.09872,1.1421,0.000841835,0.000841835,0.000841835
12,6453.32,1.26149,1.05377,1.11522,0.73669,0.73292,0.77686,0.49379,1.24403,1.0213,1.10401,0.000759318,0.000759318,0.000759318
13,6860.21,1.24785,0.99888,1.1196,0.78304,0.80969,0.82672,0.51234,1.26951,0.98373,1.10349,0.000676802,0.000676802,0.000676802
14,7270.03,1.23051,0.93721,1.10734,0.80206,0.80432,0.82909,0.51344,1.28045,0.95125,1.11216,0.000594286,0.000594286,0.000594286
15,7670.06,1.2003,0.86752,1.08558,0.80542,0.74051,0.80139,0.50057,1.26406,1.0025,1.111,0.000511769,0.000511769,0.000511769
16,8068.17,1.17028,0.85448,1.06532,0.77702,0.7782,0.81128,0.52238,1.2483,0.9476,1.09965,0.000429253,0.000429253,0.000429253
17,8548.59,1.15726,0.82358,1.05083,0.81554,0.80443,0.83937,0.53404,1.25573,0.88664,1.09391,0.000346736,0.000346736,0.000346736
18,8989.6,1.13735,0.77879,1.05476,0.80749,0.80699,0.84128,0.53958,1.25363,0.86072,1.10125,0.00026422,0.00026422,0.00026422
19,9430.12,1.12035,0.76081,1.04744,0.79468,0.80961,0.83918,0.55381,1.23221,0.86467,1.08351,0.000181703,0.000181703,0.000181703
20,9944.31,1.11512,0.74159,1.04689,0.76849,0.83321,0.83791,0.54417,1.2316,0.84796,1.08754,9.91865e-05,9.91865e-05,9.91865e-05
